MAX SWF-ISF,AVG FRS,AVG FRO,FR FRS/FRO,FRM,PABS,PATS
0.055720706012660215, 0.006784810126582278, 0.00805921052631579, 0.0, 0.0, 0.0, 0.0
0.0708479406273629, 0.0006148282097649187, 0.0005051691729323308, 0.35714285714285715, 0.07142857142857142, 0.03333333333333333, 0.0
0.10487221080900588, 0.0014582278481012657, 0.0005263157894736843, 0.8, 0.2, 0.05263157894736842, 0.0
0.07690290802314118, 0.000747438215792646, 0.0005678258145363409, 0.7619047619047619, 0.19047619047619047, 0.02857142857142857, 0.0
0.10731930557572644, 0.001147679324894515, 0.0009411549707602342, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0
0.0585920681019961, 0.0011544303797468354, 0.0017269736842105265, 0.0, 0.0, 0.0, 0.0
0.029723726860495164, 0.00043399638336347196, 0.002760808270676692, 0.0, 0.2857142857142857, 0.09090909090909091, 0.0
0.11919843966393374, 0.0014936708860759495, 0.001408305921052632, 0.375, 0.125, 0.0, 0.0
0.08560094235795047, 0.0006260069044879173, 0.0008410586124401914, 0.4090909090909091, 0.09090909090909091, 0.07142857142857142, 0.0
0.07227635422957551, 0.0007456846950517837, 0.0018316387559808613, 0.0, 0.18181818181818182, 0.047619047619047616, 0.0
0.06568416519535021, 0.002582278481012658, 0.000287828947368421, 1.0, 0.5, 0.0, 0
0.07051020169424473, 0.0007728181212524983, 0.0002683518005540167, 0.9473684210526315, 0.42105263157894735, 0.15151515151515152, 0.03125
0.15074073204361696, 0.00106126582278481, 0.0006019736842105262, 0.76, 0.36, 0.08163265306122448, 0.0
0.016683371863730815, 0.00020253164556962027, 0.0009163533834586465, 0.14285714285714285, 0.0, 0.0, 0.0
0.016546356862156986, 0.00022278481012658231, 0.0010855263157894736, 0.2, 0.6, 0.2222222222222222, 0.0
0.06647941173821593, 0.0005130801687763714, 0.0018311403508771932, 0.26666666666666666, 0.2, 0.07407407407407407, 0.0
0.09177563159547573, 0.00239662447257384, 0.0001644736842105263, 1.0, 0.3333333333333333, 0.0, 0.0
0.09221905055260705, 0.0007728181212524984, 0.001696675900277008, 0.21052631578947367, 0.21052631578947367, 0.08571428571428572, 0.0
0.03240012231088139, 0.00039585730724971233, 0.003274521531100478, 0.0, 0.09090909090909091, 0.06666666666666667, 0.0
0.036298084494531084, 0.0006835443037974683, 0.0007195723684210526, 0.25, 0.0, 0.0, 0.0
0.13963640540949532, 0.0019465541490857946, 0.0014985380116959066, 0.6666666666666666, 0.0, 0.0, 0.0
0.1107724150140979, 0.0008050632911392405, 0.0009087171052631581, 0.2, 0.2, 0.05405405405405406, 0.0
0.058221318369436566, 0.0006300984528832631, 0.00030153508771929826, 0.7777777777777778, 0.2222222222222222, 0.07692307692307693, 0.0
