ITER,KERNEL,PRECISION,RECALL,F-SCORE,C,GAMMA
0,rbf,[ 0.95027624  0.87214612],[ 0.86   0.955],[ 0.90288714  0.91169451],0.1,0.1
0,rbf,[ 0.94594595  0.88372093],[ 0.875  0.95 ],[ 0.90909091  0.91566265],0.1,1
0,rbf,[ 0.93782383  0.90821256],[ 0.905  0.94 ],[ 0.92111959  0.92383292],0.1,10
0,rbf,[ 0.93684211  0.8952381 ],[ 0.89  0.94],[ 0.91282051  0.91707317],0.1,100
0,rbf,[ 0.94029851  0.72180451],[ 0.63  0.96],[ 0.75449102  0.82403433],0.1,1000
0,rbf,[ 0.94021739  0.875     ],[ 0.865  0.945],[ 0.90104167  0.90865385],1,0.001
0,rbf,[ 0.95027624  0.87214612],[ 0.86   0.955],[ 0.90288714  0.91169451],1,0.01
0,rbf,[ 0.94652406  0.89201878],[ 0.885  0.95 ],[ 0.91472868  0.92009685],1,0.1
0,rbf,[ 0.94148936  0.89150943],[ 0.885  0.945],[ 0.91237113  0.91747573],1,1
0,rbf,[ 0.91919192  0.91089109],[ 0.91  0.92],[ 0.91457286  0.91542289],1,10
0,rbf,[ 0.92346939  0.90686275],[ 0.905  0.925],[ 0.91414141  0.91584158],1,100
0,rbf,[ 0.87431694  0.8156682 ],[ 0.8    0.885],[ 0.83550914  0.84892086],1,1000
0,rbf,[ 0.95027624  0.87214612],[ 0.86   0.955],[ 0.90288714  0.91169451],10,0.001
0,rbf,[ 0.94652406  0.89201878],[ 0.885  0.95 ],[ 0.91472868  0.92009685],10,0.01
0,rbf,[ 0.94148936  0.89150943],[ 0.885  0.945],[ 0.91237113  0.91747573],10,0.1
0,rbf,[ 0.93193717  0.89473684],[ 0.89   0.935],[ 0.91048593  0.91442543],10,1
0,rbf,[ 0.91044776  0.91457286],[ 0.915  0.91 ],[ 0.9127182  0.9122807],10,10
0,rbf,[ 0.89  0.89],[ 0.89  0.89],[ 0.89  0.89],10,100
0,rbf,[ 0.84574468  0.80660377],[ 0.795  0.855],[ 0.81958763  0.83009709],10,1000
0,rbf,[ 0.94652406  0.89201878],[ 0.885  0.95 ],[ 0.91472868  0.92009685],100,0.001
0,rbf,[ 0.94148936  0.89150943],[ 0.885  0.945],[ 0.91237113  0.91747573],100,0.01
0,rbf,[ 0.93684211  0.8952381 ],[ 0.89  0.94],[ 0.91282051  0.91707317],100,0.1
0,rbf,[ 0.92783505  0.90291262],[ 0.9   0.93],[ 0.91370558  0.91625616],100,1
0,rbf,[ 0.90147783  0.91370558],[ 0.915  0.9  ],[ 0.90818859  0.90680101],100,10
0,rbf,[ 0.8277512   0.85863874],[ 0.865  0.82 ],[ 0.84596577  0.83887468],100,100
0,rbf,[ 0.84210526  0.80952381],[ 0.8   0.85],[ 0.82051282  0.82926829],100,1000
0,rbf,[ 0.94148936  0.89150943],[ 0.885  0.945],[ 0.91237113  0.91747573],1000,0.001
0,rbf,[ 0.93193717  0.89473684],[ 0.89   0.935],[ 0.91048593  0.91442543],1000,0.01
0,rbf,[ 0.93717277  0.89952153],[ 0.895  0.94 ],[ 0.91560102  0.9193154 ],1000,0.1
0,rbf,[ 0.91414141  0.90594059],[ 0.905  0.915],[ 0.90954774  0.91044776],1000,1
0,rbf,[ 0.8817734   0.89340102],[ 0.895  0.88 ],[ 0.88833747  0.88664987],1000,10
0,rbf,[ 0.8195122   0.83589744],[ 0.84   0.815],[ 0.82962963  0.82531646],1000,100
0,rbf,[ 0.84126984  0.8056872 ],[ 0.795  0.85 ],[ 0.81748072  0.82725061],1000,1000
